Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Position_quali,BestLap_Sec,IsWetQuali,Circuit,TrackLength_km,Corners,Type,OvertakingDifficulty,PositionDelta,DriverForm,DriverCircuitForm,TeamForm,IsRookieRace,IsNewCircuit
19.0,LEC,16,Kick Sauber,19.0,Finished,1,Finished,1,2018,3,19.0,94.454,0,Shanghai,5.451,16,Permanent,Moderate,0.0,12.5,,13.0,0,1
20.0,HAR,28,Racing Bulls,15.0,Collision damage,0,Other,1,2018,3,15.0,93.795,0,Shanghai,5.451,16,Permanent,Moderate,5.0,16.0,,14.333333333333334,0,1
1.0,HAM,44,Mercedes,2.0,Finished,1,Finished,0,2018,4,2.0,101.677,1,Baku,6.003,20,Street,Difficult,-1.0,3.0,,3.0,0,1
2.0,RAI,7,Ferrari,6.0,Finished,1,Finished,0,2018,4,6.0,102.49,1,Baku,6.003,20,Street,Difficult,-4.0,8.0,,8.0,0,1
3.0,PER,11,Aston Martin,8.0,Finished,1,Finished,0,2018,4,8.0,102.547,1,Baku,6.003,20,Street,Difficult,-5.0,13.0,,13.0,0,1
4.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,4,1.0,101.498,1,Baku,6.003,20,Street,Difficult,3.0,3.3333333333333335,,3.3333333333333335,0,1
5.0,SAI,55,Alpine,9.0,Finished,1,Finished,0,2018,4,10.0,103.351,1,Baku,6.003,20,Street,Difficult,-4.0,10.0,,10.0,0,1
6.0,LEC,16,Kick Sauber,13.0,Finished,1,Finished,0,2018,4,14.0,103.752,1,Baku,6.003,20,Street,Difficult,-7.0,14.666666666666666,,14.666666666666666,0,1
7.0,ALO,14,McLaren,12.0,Finished,1,Finished,0,2018,4,13.0,104.01,1,Baku,6.003,20,Street,Difficult,-5.0,6.333333333333333,,6.333333333333333,0,1
8.0,STR,18,Williams,10.0,Finished,1,Finished,0,2018,4,11.0,103.585,1,Baku,6.003,20,Street,Difficult,-2.0,14.0,,14.0,0,1
9.0,VAN,2,McLaren,16.0,Finished,1,Finished,0,2018,4,16.0,104.489,1,Baku,6.003,20,Street,Difficult,-7.0,10.0,,10.0,0,1
10.0,HAR,28,Racing Bulls,19.0,Finished,1,Finished,0,2018,4,19.0,117.354,1,Baku,6.003,20,Street,Difficult,-9.0,17.333333333333332,,17.333333333333332,0,1
11.0,ERI,9,Kick Sauber,18.0,Finished,1,Finished,0,2018,4,18.0,105.541,1,Baku,6.003,20,Street,Difficult,-7.0,14.666666666666666,,14.666666666666666,0,1
12.0,GAS,10,Racing Bulls,17.0,Finished,1,Finished,0,2018,4,17.0,104.496,1,Baku,6.003,20,Street,Difficult,-5.0,13.333333333333334,,13.333333333333334,0,1
13.0,MAG,20,Haas F1 Team,15.0,Finished,1,Finished,0,2018,4,15.0,103.674,1,Baku,6.003,20,Street,Difficult,-2.0,10.666666666666666,,10.666666666666666,0,1
14.0,BOT,77,Mercedes,3.0,Puncture,0,Other,0,2018,4,3.0,101.837,1,Baku,6.003,20,Street,Difficult,11.0,4.0,,4.0,0,1
15.0,GRO,8,Haas F1 Team,20.0,Accident,0,Crash,0,2018,4,20.0,84.0575,1,Baku,6.003,20,Street,Difficult,-5.0,15.333333333333334,,15.333333333333334,0,1
16.0,VER,33,Red Bull Racing,5.0,Collision,0,Other,0,2018,4,5.0,101.994,1,Baku,6.003,20,Street,Difficult,11.0,10.0,,10.0,0,1
17.0,RIC,3,Red Bull Racing,4.0,Collision,0,Other,0,2018,4,4.0,101.911,1,Baku,6.003,20,Street,Difficult,13.0,8.333333333333334,,8.333333333333334,0,1
18.0,HUL,27,Alpine,14.0,Accident,0,Crash,0,2018,4,9.0,103.066,1,Baku,6.003,20,Street,Difficult,4.0,6.333333333333333,,6.333333333333333,0,1
19.0,OCO,31,Aston Martin,7.0,Collision,0,Other,0,2018,4,7.0,102.523,1,Baku,6.003,20,Street,Difficult,12.0,11.0,,11.0,0,1
