Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
2.0,LEC,16,Ferrari,2.0,Finished,3.1310000000000002,0,0,2025,8,Monaco
3.0,PIA,81,McLaren,3.0,Finished,3.658,0,0,2025,8,Monaco
4.0,VER,1,Red Bull Racing,4.0,Finished,20.572,0,0,2025,8,Monaco
5.0,HAM,44,Ferrari,7.0,Finished,51.387,0,0,2025,8,Monaco
6.0,HAD,6,Racing Bulls,5.0,Lapped,65.082,0,0,2025,8,Monaco
7.0,OCO,31,Haas F1 Team,8.0,Lapped,66.029,0,0,2025,8,Monaco
8.0,LAW,30,Racing Bulls,9.0,Lapped,66.746,0,0,2025,8,Monaco
9.0,ALB,23,Williams,10.0,Lapped,11.869,0,0,2025,8,Monaco
10.0,SAI,55,Williams,11.0,Lapped,15.232,0,0,2025,8,Monaco
11.0,RUS,63,Mercedes,14.0,Lapped,33.844,0,0,2025,8,Monaco
12.0,BEA,87,Haas F1 Team,20.0,Lapped,54.693,0,0,2025,8,Monaco
13.0,COL,43,Alpine,18.0,Lapped,57.114,0,0,2025,8,Monaco
14.0,BOR,5,Kick Sauber,16.0,Lapped,68.424,0,0,2025,8,Monaco
15.0,STR,18,Aston Martin,19.0,Lapped,70.395,0,0,2025,8,Monaco
16.0,HUL,27,Kick Sauber,13.0,Lapped,71.544,0,0,2025,8,Monaco
17.0,TSU,22,Red Bull Racing,12.0,Lapped,71.849,0,0,2025,8,Monaco
18.0,ANT,12,Mercedes,15.0,Lapped,8.409,0,0,2025,8,Monaco
19.0,ALO,14,Aston Martin,6.0,Retired,,0,0,2025,8,Monaco
20.0,GAS,10,Alpine,17.0,Retired,,0,0,2025,8,Monaco
1.0,PIA,81,McLaren,1.0,Finished,5577.375,0,0,2025,9,Barcelona
2.0,NOR,4,McLaren,2.0,Finished,2.471,0,0,2025,9,Barcelona
3.0,LEC,16,Ferrari,7.0,Finished,10.455,0,0,2025,9,Barcelona
4.0,RUS,63,Mercedes,4.0,Finished,11.359,0,0,2025,9,Barcelona
5.0,HUL,27,Kick Sauber,15.0,Finished,13.648,0,0,2025,9,Barcelona
6.0,HAM,44,Ferrari,5.0,Finished,15.508,0,0,2025,9,Barcelona
7.0,HAD,6,Racing Bulls,9.0,Finished,16.022,0,0,2025,9,Barcelona
8.0,GAS,10,Alpine,8.0,Finished,17.882,0,0,2025,9,Barcelona
9.0,ALO,14,Aston Martin,10.0,Finished,21.564,0,0,2025,9,Barcelona
10.0,VER,1,Red Bull Racing,3.0,Finished,21.826,0,0,2025,9,Barcelona
11.0,LAW,30,Racing Bulls,13.0,Finished,25.532,0,0,2025,9,Barcelona
12.0,BOR,5,Kick Sauber,12.0,Finished,25.996,0,0,2025,9,Barcelona
13.0,TSU,22,Red Bull Racing,19.0,Finished,28.822,0,0,2025,9,Barcelona
14.0,SAI,55,Williams,17.0,Finished,29.309,0,0,2025,9,Barcelona
15.0,COL,43,Alpine,18.0,Finished,31.381,0,0,2025,9,Barcelona
16.0,OCO,31,Haas F1 Team,16.0,Finished,32.197,0,0,2025,9,Barcelona
17.0,BEA,87,Haas F1 Team,14.0,Finished,37.065,0,0,2025,9,Barcelona
18.0,ANT,12,Mercedes,6.0,Retired,,0,0,2025,9,Barcelona
19.0,ALB,23,Williams,11.0,Retired,,1,0,2025,9,Barcelona
1.0,RUS,63,Mercedes,1.0,Finished,5512.688,2,1,2025,10,Montréal
2.0,VER,1,Red Bull Racing,2.0,Finished,0.228,2,1,2025,10,Montréal
3.0,ANT,12,Mercedes,4.0,Finished,1.014,2,1,2025,10,Montréal
4.0,PIA,81,McLaren,3.0,Finished,2.109,2,1,2025,10,Montréal
5.0,LEC,16,Ferrari,8.0,Finished,3.442,2,1,2025,10,Montréal
6.0,HAM,44,Ferrari,5.0,Finished,10.713,2,1,2025,10,Montréal
7.0,ALO,14,Aston Martin,6.0,Finished,10.972,3,1,2025,10,Montréal
8.0,HUL,27,Kick Sauber,11.0,Finished,15.364,3,1,2025,10,Montréal
9.0,OCO,31,Haas F1 Team,14.0,Lapped,1.4729999999999999,2,1,2025,10,Montréal
10.0,SAI,55,Williams,16.0,Lapped,1.8860000000000001,2,1,2025,10,Montréal
11.0,BEA,87,Haas F1 Team,13.0,Lapped,3.717,2,1,2025,10,Montréal
12.0,TSU,22,Red Bull Racing,18.0,Lapped,5.456,2,1,2025,10,Montréal
13.0,COL,43,Alpine,10.0,Lapped,7.018,2,1,2025,10,Montréal
14.0,BOR,5,Kick Sauber,15.0,Lapped,7.879,2,1,2025,10,Montréal
15.0,GAS,10,Alpine,20.0,Lapped,7.95,2,1,2025,10,Montréal
16.0,HAD,6,Racing Bulls,12.0,Lapped,8.737,2,1,2025,10,Montréal
17.0,STR,18,Aston Martin,17.0,Lapped,9.063,2,1,2025,10,Montréal
18.0,NOR,4,McLaren,7.0,Retired,,0,1,2025,10,Montréal
19.0,LAW,30,Racing Bulls,19.0,Retired,,0,1,2025,10,Montréal
20.0,ALB,23,Williams,9.0,Retired,,0,1,2025,10,Montréal
1.0,NOR,4,McLaren,1.0,Finished,5027.693,0,0,2025,11,Spielberg
2.0,PIA,81,McLaren,3.0,Finished,2.695,0,0,2025,11,Spielberg
3.0,LEC,16,Ferrari,2.0,Finished,19.82,0,0,2025,11,Spielberg
4.0,HAM,44,Ferrari,4.0,Finished,29.02,0,0,2025,11,Spielberg
5.0,RUS,63,Mercedes,5.0,Finished,62.396,0,0,2025,11,Spielberg
6.0,LAW,30,Racing Bulls,6.0,Finished,67.754,0,0,2025,11,Spielberg
7.0,ALO,14,Aston Martin,11.0,Lapped,1.437,0,0,2025,11,Spielberg
8.0,BOR,5,Kick Sauber,8.0,Lapped,1.952,0,0,2025,11,Spielberg
9.0,HUL,27,Kick Sauber,20.0,Lapped,7.72,0,0,2025,11,Spielberg
10.0,OCO,31,Haas F1 Team,17.0,Lapped,9.986,0,0,2025,11,Spielberg
11.0,BEA,87,Haas F1 Team,15.0,Lapped,24.854,0,0,2025,11,Spielberg
12.0,HAD,6,Racing Bulls,13.0,Lapped,27.957,0,0,2025,11,Spielberg
13.0,GAS,10,Alpine,10.0,Lapped,33.055,0,0,2025,11,Spielberg
14.0,STR,18,Aston Martin,16.0,Lapped,34.462,0,0,2025,11,Spielberg
15.0,COL,43,Alpine,14.0,Lapped,42.692,0,0,2025,11,Spielberg
16.0,TSU,22,Red Bull Racing,18.0,Lapped,2.979,0,0,2025,11,Spielberg
17.0,ALB,23,Williams,12.0,Retired,,0,0,2025,11,Spielberg
18.0,VER,1,Red Bull Racing,7.0,Retired,,0,0,2025,11,Spielberg
19.0,ANT,12,Mercedes,9.0,Retired,,0,0,2025,11,Spielberg
20.0,SAI,55,Williams,19.0,Did not start,,0,0,2025,11,Spielberg
1.0,NOR,4,McLaren,3.0,Finished,5835.735,0,1,2025,12,Silverstone
2.0,PIA,81,McLaren,2.0,Finished,6.812,0,1,2025,12,Silverstone
3.0,HUL,27,Kick Sauber,19.0,Finished,34.742,0,1,2025,12,Silverstone
4.0,HAM,44,Ferrari,5.0,Finished,39.812,0,1,2025,12,Silverstone
5.0,VER,1,Red Bull Racing,1.0,Finished,56.781,0,1,2025,12,Silverstone
6.0,GAS,10,Alpine,8.0,Finished,59.857,0,1,2025,12,Silverstone
7.0,STR,18,Aston Martin,17.0,Finished,60.603,0,1,2025,12,Silverstone
8.0,ALB,23,Williams,13.0,Finished,64.135,0,1,2025,12,Silverstone
9.0,ALO,14,Aston Martin,7.0,Finished,65.858,0,1,2025,12,Silverstone
10.0,RUS,63,Mercedes,4.0,Finished,70.674,0,1,2025,12,Silverstone
11.0,BEA,87,Haas F1 Team,18.0,Finished,72.095,0,1,2025,12,Silverstone
12.0,SAI,55,Williams,9.0,Finished,76.592,0,1,2025,12,Silverstone
13.0,OCO,31,Haas F1 Team,14.0,Finished,77.301,0,1,2025,12,Silverstone
14.0,LEC,16,Ferrari,6.0,Finished,84.477,0,1,2025,12,Silverstone
15.0,TSU,22,Red Bull Racing,11.0,Lapped,32.25,0,1,2025,12,Silverstone
16.0,ANT,12,Mercedes,10.0,Retired,,0,1,2025,12,Silverstone
17.0,HAD,6,Racing Bulls,12.0,Retired,,0,1,2025,12,Silverstone
18.0,BOR,5,Kick Sauber,16.0,Retired,,0,1,2025,12,Silverstone
19.0,LAW,30,Racing Bulls,15.0,Retired,,0,1,2025,12,Silverstone
20.0,COL,43,Alpine,20.0,Did not start,,0,1,2025,12,Silverstone
1.0,PIA,81,McLaren,2.0,Finished,5122.601,0,1,2025,13,Spa-Francorchamps
2.0,NOR,4,McLaren,1.0,Finished,3.415,0,1,2025,13,Spa-Francorchamps
3.0,LEC,16,Ferrari,3.0,Finished,20.185,0,1,2025,13,Spa-Francorchamps
4.0,VER,1,Red Bull Racing,4.0,Finished,21.731,0,1,2025,13,Spa-Francorchamps
5.0,RUS,63,Mercedes,6.0,Finished,34.863,0,1,2025,13,Spa-Francorchamps
6.0,ALB,23,Williams,5.0,Finished,39.926,0,1,2025,13,Spa-Francorchamps
7.0,HAM,44,Ferrari,18.0,Finished,40.679,0,1,2025,13,Spa-Francorchamps
8.0,LAW,30,Racing Bulls,9.0,Finished,52.033,0,1,2025,13,Spa-Francorchamps
9.0,BOR,5,Kick Sauber,10.0,Finished,56.434,0,1,2025,13,Spa-Francorchamps
10.0,GAS,10,Alpine,13.0,Finished,72.714,0,1,2025,13,Spa-Francorchamps
11.0,BEA,87,Haas F1 Team,12.0,Finished,73.145,0,1,2025,13,Spa-Francorchamps
12.0,HUL,27,Kick Sauber,14.0,Finished,73.628,0,1,2025,13,Spa-Francorchamps
13.0,TSU,22,Red Bull Racing,7.0,Finished,75.395,0,1,2025,13,Spa-Francorchamps
14.0,STR,18,Aston Martin,16.0,Finished,79.831,0,1,2025,13,Spa-Francorchamps
15.0,OCO,31,Haas F1 Team,11.0,Finished,86.063,0,1,2025,13,Spa-Francorchamps
16.0,ANT,12,Mercedes,19.0,Finished,86.721,0,1,2025,13,Spa-Francorchamps
17.0,ALO,14,Aston Martin,20.0,Finished,87.924,0,1,2025,13,Spa-Francorchamps
18.0,SAI,55,Williams,17.0,Finished,92.024,0,1,2025,13,Spa-Francorchamps
19.0,COL,43,Alpine,15.0,Finished,95.25,0,1,2025,13,Spa-Francorchamps
20.0,HAD,6,Racing Bulls,8.0,Lapped,12.942,0,1,2025,13,Spa-Francorchamps
1.0,NOR,4,McLaren,3.0,Finished,5721.231,0,0,2025,14,Budapest
2.0,PIA,81,McLaren,2.0,Finished,0.698,0,0,2025,14,Budapest
3.0,RUS,63,Mercedes,4.0,Finished,21.916,0,0,2025,14,Budapest
4.0,LEC,16,Ferrari,1.0,Finished,42.56,0,0,2025,14,Budapest
5.0,ALO,14,Aston Martin,5.0,Finished,59.04,0,0,2025,14,Budapest
